doc_id,doc_type,filename,total_pages,native_pages,image_pages,classification,error
DOC-AR-2024,annual_report,annual_report/DOC-AR-2024.pdf,18,18,0,native,
DOC-AR-2025,annual_report,annual_report/DOC-AR-2025.pdf,18,18,0,native,
DOC-BANK-2019,bank_statement,bank_statement/DOC-BANK-2019.pdf,2,2,0,native,
DOC-BANK-2020,bank_statement,bank_statement/DOC-BANK-2020.pdf,4,4,0,native,
DOC-BANK-2021,bank_statement,bank_statement/DOC-BANK-2021.pdf,5,5,0,native,
DOC-BANK-2022,bank_statement,bank_statement/DOC-BANK-2022.pdf,7,7,0,native,
DOC-BANK-2023,bank_statement,bank_statement/DOC-BANK-2023.pdf,5,5,0,native,
DOC-BANK-2024,bank_statement,bank_statement/DOC-BANK-2024.pdf,5,5,0,native,
DOC-BANK-2025,bank_statement,bank_statement/DOC-BANK-2025.pdf,6,6,0,native,
DOC-BANK-2026,bank_statement,bank_statement/DOC-BANK-2026.pdf,2,2,0,native,
DOC-BOND-00005,performance_bond,performance_bond/DOC-BOND-00005.pdf,3,3,0,native,
DOC-BOND-00006,performance_bond,performance_bond/DOC-BOND-00006.pdf,1,1,0,native,
DOC-BOND-00010,performance_bond,performance_bond/DOC-BOND-00010.pdf,3,3,0,native,
DOC-BOND-00016,performance_bond,performance_bond/DOC-BOND-00016.pdf,1,1,0,native,
DOC-BOND-00024,performance_bond,performance_bond/DOC-BOND-00024.pdf,1,1,0,native,
DOC-BOND-00025,performance_bond,performance_bond/DOC-BOND-00025.pdf,3,3,0,native,
DOC-BOND-00030,performance_bond,performance_bond/DOC-BOND-00030.pdf,3,3,0,native,
DOC-BOND-00032,performance_bond,performance_bond/DOC-BOND-00032.pdf,3,3,0,native,
DOC-BOND-00036,performance_bond,performance_bond/DOC-BOND-00036.pdf,1,1,0,native,
DOC-BOND-00040,performance_bond,performance_bond/DOC-BOND-00040.pdf,1,1,0,native,
DOC-BOND-00044,performance_bond,performance_bond/DOC-BOND-00044.pdf,3,3,0,native,
DOC-BOND-00045,performance_bond,performance_bond/DOC-BOND-00045.pdf,1,1,0,native,
DOC-BOND-00046,performance_bond,performance_bond/DOC-BOND-00046.pdf,1,1,0,native,
DOC-BOND-00047,performance_bond,performance_bond/DOC-BOND-00047.pdf,1,1,0,native,
DOC-BOND-00059,performance_bond,performance_bond/DOC-BOND-00059.pdf,3,3,0,native,
DOC-BOND-00063,performance_bond,performance_bond/DOC-BOND-00063.pdf,1,1,0,native,
DOC-BOND-00064,performance_bond,performance_bond/DOC-BOND-00064.pdf,3,3,0,native,
DOC-BOND-00065,performance_bond,performance_bond/DOC-BOND-00065.pdf,3,3,0,native,
DOC-BOND-00066,performance_bond,performance_bond/DOC-BOND-00066.pdf,3,3,0,native,
DOC-BOND-00067,performance_bond,performance_bond/DOC-BOND-00067.pdf,1,1,0,native,
DOC-BOND-00071,performance_bond,performance_bond/DOC-BOND-00071.pdf,3,3,0,native,
DOC-BOND-00077,performance_bond,performance_bond/DOC-BOND-00077.pdf,1,1,0,native,
DOC-BOND-00082,performance_bond,performance_bond/DOC-BOND-00082.pdf,3,3,0,native,
DOC-BOND-00085,performance_bond,performance_bond/DOC-BOND-00085.pdf,1,1,0,native,
DOC-BOND-00087,performance_bond,performance_bond/DOC-BOND-00087.pdf,1,1,0,native,
DOC-BOND-00091,performance_bond,performance_bond/DOC-BOND-00091.pdf,1,1,0,native,
DOC-BOND-00095,performance_bond,performance_bond/DOC-BOND-00095.pdf,3,3,0,native,
DOC-BOND-00101,performance_bond,performance_bond/DOC-BOND-00101.pdf,1,1,0,native,
DOC-BOND-00105,performance_bond,performance_bond/DOC-BOND-00105.pdf,1,1,0,native,
DOC-BOND-00117,performance_bond,performance_bond/DOC-BOND-00117.pdf,3,3,0,native,
DOC-BOND-00119,performance_bond,performance_bond/DOC-BOND-00119.pdf,3,3,0,native,
DOC-BOND-00120,performance_bond,performance_bond/DOC-BOND-00120.pdf,1,1,0,native,
DOC-BOND-00128,performance_bond,performance_bond/DOC-BOND-00128.pdf,1,1,0,native,
DOC-BOND-00132,performance_bond,performance_bond/DOC-BOND-00132.pdf,1,1,0,native,
DOC-BOND-00136,performance_bond,performance_bond/DOC-BOND-00136.pdf,1,1,0,native,
DOC-BOND-00143,performance_bond,performance_bond/DOC-BOND-00143.pdf,1,1,0,native,
DOC-BOND-00150,performance_bond,performance_bond/DOC-BOND-00150.pdf,3,3,0,native,
DOC-BOND-00160,performance_bond,performance_bond/DOC-BOND-00160.pdf,1,1,0,native,
DOC-BOND-00170,performance_bond,performance_bond/DOC-BOND-00170.pdf,3,3,0,native,
DOC-BOND-00171,performance_bond,performance_bond/DOC-BOND-00171.pdf,3,3,0,native,
DOC-BOND-00174,performance_bond,performance_bond/DOC-BOND-00174.pdf,1,1,0,native,
DOC-BOND-00181,performance_bond,performance_bond/DOC-BOND-00181.pdf,1,1,0,native,
DOC-BOND-00184,performance_bond,performance_bond/DOC-BOND-00184.pdf,3,3,0,native,
DOC-BOND-00189,performance_bond,performance_bond/DOC-BOND-00189.pdf,1,1,0,native,
DOC-BOND-00190,performance_bond,performance_bond/DOC-BOND-00190.pdf,3,3,0,native,
DOC-BOND-00192,performance_bond,performance_bond/DOC-BOND-00192.pdf,3,3,0,native,
DOC-BOND-00202,performance_bond,performance_bond/DOC-BOND-00202.pdf,1,1,0,native,
DOC-BOND-00208,performance_bond,performance_bond/DOC-BOND-00208.pdf,3,3,0,native,
DOC-BOND-00211,performance_bond,performance_bond/DOC-BOND-00211.pdf,1,1,0,native,
DOC-BOND-00212,performance_bond,performance_bond/DOC-BOND-00212.pdf,1,1,0,native,
DOC-BOND-00214,performance_bond,performance_bond/DOC-BOND-00214.pdf,3,3,0,native,
DOC-BOND-00216,performance_bond,performance_bond/DOC-BOND-00216.pdf,3,3,0,native,
DOC-BOND-00217,performance_bond,performance_bond/DOC-BOND-00217.pdf,3,3,0,native,
DOC-BOND-00219,performance_bond,performance_bond/DOC-BOND-00219.pdf,1,1,0,native,
DOC-BOND-00220,performance_bond,performance_bond/DOC-BOND-00220.pdf,3,3,0,native,
DOC-BOND-00225,performance_bond,performance_bond/DOC-BOND-00225.pdf,3,3,0,native,
DOC-BOND-00231,performance_bond,performance_bond/DOC-BOND-00231.pdf,1,1,0,native,
DOC-BOND-00235,performance_bond,performance_bond/DOC-BOND-00235.pdf,1,1,0,native,
DOC-BOND-00236,performance_bond,performance_bond/DOC-BOND-00236.pdf,1,1,0,native,
DOC-BOND-00238,performance_bond,performance_bond/DOC-BOND-00238.pdf,3,3,0,native,
DOC-CC-001,completion_certificate,completion_certificate/DOC-CC-001.pdf,3,2,1,mixed,
DOC-CC-002,completion_certificate,completion_certificate/DOC-CC-002.pdf,1,1,0,native,
DOC-CC-003,completion_certificate,completion_certificate/DOC-CC-003.pdf,3,2,1,mixed,
DOC-CC-004,completion_certificate,completion_certificate/DOC-CC-004.pdf,3,2,1,mixed,
DOC-CC-005,completion_certificate,completion_certificate/DOC-CC-005.pdf,1,1,0,native,
DOC-CC-006,completion_certificate,completion_certificate/DOC-CC-006.pdf,1,1,0,native,
DOC-CC-007,completion_certificate,completion_certificate/DOC-CC-007.pdf,1,1,0,native,
DOC-CC-008,completion_certificate,completion_certificate/DOC-CC-008.pdf,1,1,0,native,
DOC-CC-009,completion_certificate,completion_certificate/DOC-CC-009.pdf,1,1,0,native,
DOC-CC-010,completion_certificate,completion_certificate/DOC-CC-010.pdf,1,1,0,native,
DOC-CC-011,completion_certificate,completion_certificate/DOC-CC-011.pdf,1,1,0,native,
DOC-CC-012,completion_certificate,completion_certificate/DOC-CC-012.pdf,1,1,0,native,
DOC-CC-013,completion_certificate,completion_certificate/DOC-CC-013.pdf,1,1,0,native,
DOC-CC-014,completion_certificate,completion_certificate/DOC-CC-014.pdf,2,2,0,native,
DOC-CC-015,completion_certificate,completion_certificate/DOC-CC-015.pdf,1,1,0,native,
DOC-CC-016,completion_certificate,completion_certificate/DOC-CC-016.pdf,1,1,0,native,
DOC-CC-017,completion_certificate,completion_certificate/DOC-CC-017.pdf,1,1,0,native,
DOC-CC-018,completion_certificate,completion_certificate/DOC-CC-018.pdf,1,1,0,native,
DOC-CC-019,completion_certificate,completion_certificate/DOC-CC-019.pdf,1,1,0,native,
DOC-CC-020,completion_certificate,completion_certificate/DOC-CC-020.pdf,3,2,1,mixed,
DOC-CC-021,completion_certificate,completion_certificate/DOC-CC-021.pdf,1,1,0,native,
DOC-CC-022,completion_certificate,completion_certificate/DOC-CC-022.pdf,3,2,1,mixed,
DOC-CC-023,completion_certificate,completion_certificate/DOC-CC-023.pdf,3,2,1,mixed,
DOC-CC-024,completion_certificate,completion_certificate/DOC-CC-024.pdf,3,2,1,mixed,
DOC-CC-025,completion_certificate,completion_certificate/DOC-CC-025.pdf,3,2,1,mixed,
DOC-CC-026,completion_certificate,completion_certificate/DOC-CC-026.pdf,2,2,0,native,
DOC-CC-027,completion_certificate,completion_certificate/DOC-CC-027.pdf,2,2,0,native,
DOC-CC-028,completion_certificate,completion_certificate/DOC-CC-028.pdf,1,1,0,native,
DOC-CC-029,completion_certificate,completion_certificate/DOC-CC-029.pdf,2,2,0,native,
DOC-CC-030,completion_certificate,completion_certificate/DOC-CC-030.pdf,1,1,0,native,
DOC-CC-031,completion_certificate,completion_certificate/DOC-CC-031.pdf,3,2,1,mixed,
DOC-CC-032,completion_certificate,completion_certificate/DOC-CC-032.pdf,1,1,0,native,
DOC-CC-033,completion_certificate,completion_certificate/DOC-CC-033.pdf,3,2,1,mixed,
DOC-CC-034,completion_certificate,completion_certificate/DOC-CC-034.pdf,1,1,0,native,
DOC-CC-035,completion_certificate,completion_certificate/DOC-CC-035.pdf,2,2,0,native,
DOC-CC-036,completion_certificate,completion_certificate/DOC-CC-036.pdf,3,2,1,mixed,
DOC-CC-037,completion_certificate,completion_certificate/DOC-CC-037.pdf,1,1,0,native,
DOC-CC-038,completion_certificate,completion_certificate/DOC-CC-038.pdf,3,2,1,mixed,
DOC-CC-039,completion_certificate,completion_certificate/DOC-CC-039.pdf,3,2,1,mixed,
DOC-CC-040,completion_certificate,completion_certificate/DOC-CC-040.pdf,2,2,0,native,
DOC-CC-041,completion_certificate,completion_certificate/DOC-CC-041.pdf,2,2,0,native,
DOC-CC-042,completion_certificate,completion_certificate/DOC-CC-042.pdf,3,2,1,mixed,
DOC-CC-043,completion_certificate,completion_certificate/DOC-CC-043.pdf,1,1,0,native,
DOC-CC-044,completion_certificate,completion_certificate/DOC-CC-044.pdf,1,1,0,native,
DOC-CC-045,completion_certificate,completion_certificate/DOC-CC-045.pdf,2,2,0,native,
DOC-CC-046,completion_certificate,completion_certificate/DOC-CC-046.pdf,3,2,1,mixed,
DOC-CC-047,completion_certificate,completion_certificate/DOC-CC-047.pdf,1,1,0,native,
DOC-CC-048,completion_certificate,completion_certificate/DOC-CC-048.pdf,1,1,0,native,
DOC-CC-049,completion_certificate,completion_certificate/DOC-CC-049.pdf,1,1,0,native,
DOC-CC-050,completion_certificate,completion_certificate/DOC-CC-050.pdf,3,2,1,mixed,
DOC-CC-051,completion_certificate,completion_certificate/DOC-CC-051.pdf,3,2,1,mixed,
DOC-CC-052,completion_certificate,completion_certificate/DOC-CC-052.pdf,3,2,1,mixed,
DOC-CC-053,completion_certificate,completion_certificate/DOC-CC-053.pdf,1,1,0,native,
DOC-CC-054,completion_certificate,completion_certificate/DOC-CC-054.pdf,1,1,0,native,
DOC-CC-055,completion_certificate,completion_certificate/DOC-CC-055.pdf,3,2,1,mixed,
DOC-CC-056,completion_certificate,completion_certificate/DOC-CC-056.pdf,2,2,0,native,
DOC-CC-057,completion_certificate,completion_certificate/DOC-CC-057.pdf,3,2,1,mixed,
DOC-CC-058,completion_certificate,completion_certificate/DOC-CC-058.pdf,2,2,0,native,
DOC-CC-059,completion_certificate,completion_certificate/DOC-CC-059.pdf,2,2,0,native,
DOC-CC-060,completion_certificate,completion_certificate/DOC-CC-060.pdf,3,2,1,mixed,
DOC-CC-061,completion_certificate,completion_certificate/DOC-CC-061.pdf,2,2,0,native,
DOC-CC-062,completion_certificate,completion_certificate/DOC-CC-062.pdf,1,1,0,native,
DOC-CC-063,completion_certificate,completion_certificate/DOC-CC-063.pdf,2,2,0,native,
DOC-CC-064,completion_certificate,completion_certificate/DOC-CC-064.pdf,3,2,1,mixed,
DOC-CC-065,completion_certificate,completion_certificate/DOC-CC-065.pdf,1,1,0,native,
DOC-CC-066,completion_certificate,completion_certificate/DOC-CC-066.pdf,1,1,0,native,
DOC-CC-067,completion_certificate,completion_certificate/DOC-CC-067.pdf,3,2,1,mixed,
DOC-CC-068,completion_certificate,completion_certificate/DOC-CC-068.pdf,1,1,0,native,
DOC-CC-069,completion_certificate,completion_certificate/DOC-CC-069.pdf,3,3,0,native,
DOC-CC-070,completion_certificate,completion_certificate/DOC-CC-070.pdf,3,2,1,mixed,
DOC-CC-071,completion_certificate,completion_certificate/DOC-CC-071.pdf,3,2,1,mixed,
DOC-CC-072,completion_certificate,completion_certificate/DOC-CC-072.pdf,3,2,1,mixed,
DOC-CC-073,completion_certificate,completion_certificate/DOC-CC-073.pdf,1,1,0,native,
DOC-CC-074,completion_certificate,completion_certificate/DOC-CC-074.pdf,3,2,1,mixed,
DOC-CC-075,completion_certificate,completion_certificate/DOC-CC-075.pdf,3,2,1,mixed,
DOC-CC-076,completion_certificate,completion_certificate/DOC-CC-076.pdf,3,3,0,native,
DOC-CC-077,completion_certificate,completion_certificate/DOC-CC-077.pdf,2,2,0,native,
DOC-CC-078,completion_certificate,completion_certificate/DOC-CC-078.pdf,1,1,0,native,
DOC-CC-079,completion_certificate,completion_certificate/DOC-CC-079.pdf,1,1,0,native,
DOC-CC-080,completion_certificate,completion_certificate/DOC-CC-080.pdf,1,1,0,native,
DOC-CC-081,completion_certificate,completion_certificate/DOC-CC-081.pdf,1,1,0,native,
DOC-CC-082,completion_certificate,completion_certificate/DOC-CC-082.pdf,1,1,0,native,
DOC-CC-083,completion_certificate,completion_certificate/DOC-CC-083.pdf,1,1,0,native,
DOC-CC-084,completion_certificate,completion_certificate/DOC-CC-084.pdf,3,2,1,mixed,
DOC-CC-085,completion_certificate,completion_certificate/DOC-CC-085.pdf,1,1,0,native,
DOC-CC-086,completion_certificate,completion_certificate/DOC-CC-086.pdf,3,2,1,mixed,
DOC-CC-087,completion_certificate,completion_certificate/DOC-CC-087.pdf,3,2,1,mixed,
DOC-CC-088,completion_certificate,completion_certificate/DOC-CC-088.pdf,3,2,1,mixed,
DOC-CC-089,completion_certificate,completion_certificate/DOC-CC-089.pdf,3,2,1,mixed,
DOC-CC-090,completion_certificate,completion_certificate/DOC-CC-090.pdf,1,1,0,native,
DOC-CC-091,completion_certificate,completion_certificate/DOC-CC-091.pdf,3,2,1,mixed,
DOC-CC-092,completion_certificate,completion_certificate/DOC-CC-092.pdf,2,2,0,native,
DOC-CC-093,completion_certificate,completion_certificate/DOC-CC-093.pdf,1,1,0,native,
